Address,Price,State,Bedrooms,Bathrooms
838 Grace Valley,453883,NJ,3,1
758 Jones Glen,438983,NJ,2,2
33215 Michelle Meadows,548002,NJ,4,2
83 Torres Shoals,674776,NJ,3,3
5741 Gonzales Viaduct,738487,NJ,3,5
5245 May Run,441894,NJ,3,1
3696 Hayes Burgs,311441,NJ,1,1
654 Connor Shores,670245,NJ,3,2
20937 Fisher Glen,560324,NJ,2,2
72498 Walls Greens ,674325,NJ,4,3
2022 Salazar Corner,413811,NJ,3,1
890 Kimberly Court,443016,NJ,3,1
85639 Heather Path,594772,NJ,3,2
426 Valerie Spur ,702831,NJ,4,3
989 Ward Way,707346,NJ,4,2
9914 Ellis Circle,219818,NJ,2,1
255 Parrish Rapids,570042,NJ,2,2
3002 Renee Crossroad ,433992,NJ,2,2
741 Schmidt Circle ,692832,NJ,5,3
44307 Victoria Mission,466919,NJ,3,1
9553 Casey Prairie,594494,NJ,4,3
15079 Maria Flats,516585,NJ,4,2
75195 Davis Burg,564992,NJ,3,3
60546 Martinez Fork ,733798,NJ,6,2
62959 Hannah Mountain ,372668,NJ,2,2
4227 Castro Prairie,711109,NJ,5,2
14461 Kane Walks ,266413,NJ,2,1
6624 Joseph Mountains,789641,NJ,4,3
33912 Robert Landing,724365,NJ,4,2
934 Davis Drive,336313,NJ,2,2
66027 Lindsey Mews ,732064,NJ,4,2
79525 Lewis Haven,515293,NJ,3,1
32237 Johnny Corner ,298819,NJ,2,1
3547 John Extension,721175,NJ,4,2
591 Estrada Forge,732393,NJ,5,2
309 Jeremy Courts,588558,NJ,4,1
7787 Pierce Ports,638504,NJ,3,2
95976 Pearson Stream ,454716,NJ,3,1
58584 Cynthia Brooks,422371,NJ,2,2
346 Braun Ovalte ,295651,NJ,1,1
49669 Jackson Brooks ,679895,NJ,4,1
416 Bradley Fork,661300,NJ,3,2
85894 Krueger Pass,708601,NJ,4,3
032 Hall Meadows,283542,NJ,2,2
61868 Pruitt Island,310811,NJ,2,1
6831 Sandra Summit,214440,NJ,2,1
2185 Brandon Mountain ,393972,NJ,3,3
19968 Jackson Corner,377293,NJ,3,1
11618 Jonathon Skyway ,598389,NJ,4,1
13451 Sellers Manor ,793670,NJ,6,2
